trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-135.48676981899666,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-141.08772471920176,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-178.44505071619056,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,22,14.182828129004687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-97.30415627869444,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-67.93455287780287,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-68.22107401337396,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-93.78332413115517,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-76.15966614316305,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,-121.78436326506308,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-133.45908870069823,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-118.0927082529027,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-35.6133905273785,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,15,-83.9437542872033,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-59.26129264248289,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-8.909087551012751,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-39.42329762402519,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,-52.93695015340656,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,3,13.349752254432543,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,18,-32.46879526031581,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,1,-137.61834623218888,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 4}",1
2,True,"{'a': 0, 'e': 0}",20,13,1.247571780933203,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-68.04320590239313,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,16,10.954410193861047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,-28.449854637321913,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-65.30127988975555,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-149.48657153527134,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,0,-69.90792819904428,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,7,-97.46060572395304,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
10,True,"{'a': 0, 'e': 0}",20,0,-13.086867475730804,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
