trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,7,-21.36379426652578,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-50.00876966111848,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-229.99954927500931,"{0: 7, 1: 2, 2: 5, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,8,-39.93102315187287,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-102.33894651658822,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-36.72268025299917,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-103.82463293192518,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",25,0,-144.42175673177266,"{0: 10, 1: 3, 2: 10, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-150.20116452757205,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-200.87862900682484,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-21.558540030678905,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-126.42459892845942,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,5,-4.268731274258346,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,14,6.727737300838262,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-86.7467194596723,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",30,0,-154.48559044233713,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-102.59561904240232,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-79.55432071716598,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-170.47959982045128,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-190.0328355116086,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",30,0,-134.024178864311,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",30,0,-31.0446460726922,"{0: 21, 1: 7, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,0,-75.19572168479857,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,2,-122.78897171064722,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 3}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",25,0,-71.37560089330823,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-141.9682673733994,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-136.32003626987796,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",30,0,-80.70741863302698,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
