trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.06315209755978,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,2,-254.46191625841865,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 4}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.5345787714469,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.85188615174746,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.85977005020675,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.28444109933628,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.573965842175,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.65198902165093,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.13699296519037,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.47439668294015,"{0: 13, 1: 2, 2: 6, 3: 4, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.87706158576313,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.7456157553012,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-248.408738546007,"{0: 13, 1: 1, 2: 10, 3: 4, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-305.6862750696699,"{0: 6, 1: 3, 2: 4, 3: 1, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.37706938804975,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,2,-107.12180312050138,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,11,-57.6703958941351,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.653745976366,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.07093943701648,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.92796012937659,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,14,-25.706483193171476,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-305.23236795904063,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.3349873961127,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.493701253700706,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.64742288318617,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.93034536943612,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.089386010432,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.93790301959466,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.62145613165568,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-179.93496095812364,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
